Year,BirthRate
1940,1890
1940.084211,1957
1940.168421,1925
1940.252632,1885
1940.336842,1896
1940.421053,1934
1940.505263,2036
1940.589474,2069
1940.673684,2060
1940.757895,1922
1940.842105,1854
1940.926316,1852
1941.010526,1952
1941.094737,2011
1941.178947,2015
1941.263158,1971
1941.347368,1883
1941.431579,2070
1941.515789,2221
1941.6,2173
1941.684211,2105
1941.768421,1962
1941.852632,1951
1941.936842,1975
1942.021053,2092
1942.105263,2148
1942.189474,2114
1942.273684,2013
1942.357895,1986
1942.442105,2088
1942.526316,2218
1942.610526,2312
1942.694737,2462
1942.778947,2455
1942.863158,2357
1942.947368,2309
1943.031579,2398
1943.115789,2400
1943.2,2331
1943.284211,2222
1943.368421,2156
1943.452632,2256
1943.536842,2352
1943.621053,2371
1943.705263,2356
1943.789474,2211
1943.873684,2108
1943.957895,2069
1944.042105,2123
1944.126316,2147
1944.210526,2050
1944.294737,1977
1944.378947,1993
1944.463158,2134
1944.547368,2275
1944.631579,2262
1944.715789,2194
1944.8,2109
1944.884211,2114
1944.968421,2086
1945.052632,2089
1945.136842,2097
1945.221053,2036
1945.305263,1957
1945.389474,1953
1945.473684,2039
1945.557895,2116
1945.642105,2134
1945.726316,2142
1945.810526,2023
1945.894737,1972
1945.978947,1942
1946.063158,1931
1946.147368,1980
1946.231579,1977
1946.315789,1972
1946.4,2017
1946.484211,2161
1946.568421,2468
1946.652632,2691
1946.736842,2890
1946.821053,2913
1946.905263,2940
1946.989474,2870
1947.073684,2911
1947.157895,2832
1947.242105,2774
1947.326316,2568
1947.410526,2574
1947.494737,2641
1947.578947,2691
1947.663158,2698
1947.747368,2701
1947.831579,2596
1947.915789,2503
1948,2424
