MPG,Height,MPS
36.02,201,0.5885
39.32,198,0.8291
38.8,198,0.4974
40.71,191,0.5772
38.4,196,0.5703
34.1,201,0.5835
36.2,193,0.5276
36.75,191,0.5523
38.43,185,0.4007
33.54,203,0.477
35.01,188,0.4313
36.67,198,0.4909
33.88,185,0.5668
35.59,191,0.5113
38.01,191,0.3788
32.38,193,0.559
35.22,196,0.4799
31.73,183,0.5735
28.81,193,0.6318
35.6,196,0.4326
35.28,188,0.428
29.54,191,0.4401
31.35,196,0.5581
33.5,198,0.4866
34.56,193,0.5267
39.53,183,0.5439
26.7,196,0.4419
30.77,188,0.3998
25.67,198,0.4325
36.22,178,0.4086
36.55,185,0.4624
34.91,185,0.4325
28.35,191,0.4903
33.53,185,0.4802
31.07,193,0.4345
36.52,185,0.4819
27.87,196,0.6244
24.31,198,0.3991
31.26,193,0.4414
22.18,196,0.4013
35.25,185,0.3801
22.87,198,0.3498
24.49,193,0.3185
23.57,198,0.3097
31.72,191,0.4319
27.9,188,0.3799
22.74,191,0.4091
20.62,193,0.3588
30.46,185,0.4727
32.38,185,0.3212
25.75,191,0.3418
33.84,170,0.4285
27.83,185,0.3917
21.67,193,0.5769
21.79,193,0.4773
20.17,201,0.4512
29.07,193,0.3096
24.28,196,0.3089
19.24,193,0.4573
27.07,180,0.3214
18.95,196,0.5437
21.59,188,0.4121
13.27,193,0.2185
16.3,196,0.3313
23.01,191,0.3302
20.31,196,0.4677
17.46,188,0.2406
21.95,191,0.3007
14.57,188,0.2471
34.55,160,0.2894
22,191,0.3682
13.37,196,0.389
20.51,188,0.512
19.78,183,0.4449
16.36,191,0.4035
16.03,191,0.2683
24.27,188,0.2719
18.49,180,0.3408
17.76,180,0.4393
13.31,185,0.3004
17.41,185,0.3503
13.67,193,0.4388
17.46,193,0.2578
14.38,185,0.2989
12.12,188,0.4455
12.63,185,0.3087
12.24,180,0.3678
12,196,0.3667
24.46,185,0.3189
20.06,188,0.4187
17,170,0.5059
11.58,183,0.3195
10.08,185,0.2381
18.56,185,0.2802
11.81,185,0.381
13.81,193,0.1593
