Latitude,Longitude
25.97,-97.13
25.95,-97.22
25.97,-97.27
25.93,-97.28
25.93,-97.33
25.92,-97.35
25.85,-97.35
25.83,-97.37
25.87,-97.4
25.85,-97.42
25.85,-97.43
25.88,-97.45
25.9,-97.52
25.95,-97.57
25.97,-97.58
26,-97.62
26.03,-97.65
26.03,-97.77
26.05,-97.78
26.05,-97.8
26.05,-98
26.07,-98.02
26.03,-98.07
26.05,-98.08
26.07,-98.08
26.07,-98.12
26.07,-98.13
26.07,-98.17
26.05,-98.2
26.08,-98.2
26.12,-98.3
26.15,-98.35
26.15,-98.38
26.2,-98.37
26.2,-98.4
26.23,-98.45
26.2,-98.47
26.25,-98.53
26.23,-98.55
26.25,-98.58
26.23,-98.65
26.27,-98.7
26.3,-98.7
26.3,-98.75
26.32,-98.73
26.37,-98.8
26.37,-98.88
26.4,-98.93
26.38,-98.95
26.4,-98.97
26.4,-98.98
26.38,-99
26.4,-99.02
26.4,-99.08
26.42,-99.1
26.5,-99.08
26.55,-99.17
26.62,-99.17
26.85,-99.27
26.88,-99.35
26.92,-99.35
26.93,-99.38
27,-99.38
27.05,-99.47
27.1,-99.43
27.13,-99.45
27.22,-99.43
27.27,-99.45
27.27,-99.48
27.3,-99.48
27.3,-99.52
27.4,-99.47
27.48,-99.47
27.5,-99.52
27.57,-99.5
27.63,-99.58
27.63,-99.63
27.65,-99.65
27.67,-99.7
27.72,-99.75
27.73,-99.78
27.77,-99.8
27.78,-99.83
27.8,-99.87
27.85,-99.87
27.87,-99.88
27.9,-99.88
27.93,-99.93
27.98,-99.93
28,-100
28.07,-100.02
28.08,-100.05
28.15,-100.07
28.2,-100.18
28.23,-100.2
28.25,-100.23
28.28,-100.28
28.32,-100.28
28.4,-100.33
28.43,-100.33
28.48,-100.35
28.5,-100.32
28.53,-100.38
28.57,-100.4
28.6,-100.4
28.62,-100.43
28.63,-100.43
28.68,-100.48
28.83,-100.53
28.83,-100.57
28.87,-100.57
28.92,-100.62
29,-100.63
29.12,-100.67
29.17,-100.77
29.23,-100.77
29.28,-100.83
29.28,-100.87
29.35,-100.93
29.38,-101
29.47,-101.05
29.5,-101.13
29.53,-101.18
29.53,-101.22
29.58,-101.22
29.62,-101.22
29.62,-101.23
29.58,-101.3
29.62,-101.32
29.65,-101.3
29.67,-101.35
29.75,-101.42
29.77,-101.4
29.77,-101.43
29.78,-101.47
29.77,-101.53
29.8,-101.53
29.82,-101.53
29.77,-101.57
29.77,-101.63
29.8,-101.77
29.78,-101.8
29.82,-101.82
29.8,-101.83
29.8,-101.88
29.8,-101.92
29.82,-101.97
29.8,-101.98
29.8,-102.08
29.82,-102.15
29.85,-102.18
29.85,-102.23
29.87,-102.25
29.87,-102.25
29.88,-102.3
29.85,-102.35
29.8,-102.37
29.77,-102.38
29.78,-102.5
29.75,-102.53
29.77,-102.57
29.75,-102.58
29.75,-102.67
29.67,-102.68
29.63,-102.73
29.6,-102.73
29.6,-102.77
29.55,-102.77
29.52,-102.8
29.45,-102.82
29.4,-102.82
29.35,-102.85
29.35,-102.88
29.32,-102.88
29.25,-102.9
29.22,-102.87
29.22,-102.9
29.2,-102.93
29.18,-102.98
29.1,-103.03
29.08,-103.08
29.05,-103.08
29.07,-103.1
29,-103.1
28.98,-103.15
29,-103.3
29,-103.32
29.02,-103.32
29.02,-103.33
29.03,-103.35
29.02,-103.37
29.07,-103.45
29.07,-103.48
29.15,-103.55
29.15,-103.63
29.2,-103.73
29.23,-103.78
29.25,-103.77
29.27,-103.78
29.28,-103.88
29.33,-104.05
29.42,-104.17
29.47,-104.2
29.48,-104.2
29.52,-104.28
29.53,-104.33
29.57,-104.42
29.63,-104.5
29.72,-104.55
29.8,-104.57
29.82,-104.62
29.95,-104.68
29.97,-104.67
30.05,-104.7
30.12,-104.68
30.18,-104.68
30.23,-104.7
30.28,-104.77
30.32,-104.77
30.35,-104.82
30.38,-104.82
30.4,-104.85
30.5,-104.87
30.57,-104.9
30.62,-104.93
30.62,-104.98
30.68,-105
30.7,-105.07
30.8,-105.2
30.8,-105.27
30.82,-105.28
30.87,-105.38
30.9,-105.4
30.95,-105.48
30.97,-105.5
31.02,-105.57
31.08,-105.6
31.18,-105.77
31.25,-105.83
31.33,-105.93
31.37,-105.95
31.4,-106
31.43,-106.15
31.48,-106.22
